STATIONS_ID; iso-date; QUALITAETS_NIVEAU; tavg;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;relhumid; windspeed; tmax;tmin;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; precip;NIEDERSCHLAGSHOEHE_IND;sunhours; SCHNEEHOEHE;eor
164;2014-01-01;   3;    0.0;   5.7;   5.4; 1006.88;   93.50;   3.1;    2.3;   -1.8;   -4.1;   7.3;   0.0;   0;    0.000;   0;eor
164;2014-01-02;   3;    2.3;   6.4;   7.0; 1000.44;   88.92;   4.5;    6.0;   -0.5;   -2.1;   9.8;   0.1;   6;    0.000;   0;eor
164;2014-01-03;   3;    5.3;   7.8;   4.7; 1001.92;   87.79;   3.9;    8.4;    2.0;   -0.3;  17.5;   0.2;   6;    4.783;   0;eor
164;2014-01-04;   3;    5.0;   7.5;   5.8; 1001.55;   85.54;   4.1;    8.4;    1.4;   -1.9;  16.8;   0.9;   6;    1.517;   0;eor
164;2014-01-05;   3;    4.9;   8.1;   5.8;  998.01;   93.29;   3.4;    6.9;    1.4;   -0.6;   7.8;   0.2;   6;    0.000;   0;eor
164;2014-01-06;   3;    3.5;   7.2;   5.0; 1004.13;   90.83;   4.4;    7.4;   -0.9;   -3.2;  11.1;  10.2;   6;    1.067;   0;eor
164;2014-01-07;   3;    8.4;   9.7;   4.5; 1005.93;   87.83;   4.9;   11.3;    6.5;    3.9;  11.3;   1.5;   6;    5.800;   0;eor
164;2014-01-08;   3;    7.8;   9.3;   6.7; 1008.14;   87.83;   4.7;    9.8;    5.7;    3.5;  15.9;   2.8;   6;    0.350;   0;eor
164;2014-01-09;   3;    7.2;   8.9;   7.1;  999.30;   88.33;   5.1;   11.9;    2.8;    1.7;  18.6;   2.6;   6;    0.000;   0;eor
164;2014-01-10;   3;    5.9;   7.5;   7.3; 1001.40;   80.71;   7.9;    6.8;    4.7;    3.4;  16.6;   0.3;   6;    0.167;   0;eor
164;2014-01-11;   3;    5.1;   7.2;   6.4; 1004.77;   82.33;   5.4;    7.8;    3.3;    1.6;  17.1;   0.7;   6;    2.600;   0;eor
164;2014-01-12;   3;    4.3;   6.6;   6.0; 1009.66;   78.96;   7.6;    5.8;    1.8;    0.4;  15.5;   0.0;   6;    2.200;   0;eor
164;2014-01-13;   3;    1.6;   6.3;   6.7; 1007.28;   91.63;   3.2;    2.8;   -0.3;   -2.9;   9.6;   0.0;   6;    0.000;   0;eor
164;2014-01-14;   3;    2.7;   7.0;   8.0; 1003.22;   94.04;   1.6;    5.1;    1.4;    0.0;   4.2;   0.0;   0;    0.700;   0;eor
164;2014-01-15;   3;    1.9;   6.6;   8.0; 1004.56;   94.33;   1.8;    2.4;    1.1;   -0.2;   5.5;   0.0;   6;    0.000;   0;eor
164;2014-01-16;   3;    0.7;   6.3;   8.0; 1001.35;   97.29;   4.9;    1.5;    0.3;    0.0;   9.0;   6.6;   8;    0.000;   0;eor
164;2014-01-17;   3;    3.7;   8.0;   8.0;  997.65;   99.67;   2.5;    5.6;    1.5;    1.3;   7.4;   0.0;   6;    0.000;   0;eor
164;2014-01-18;   3;    3.4;   7.5;   7.2; 1002.56;   96.63;   3.6;    6.1;    1.5;    0.3;   9.8;   0.0;   6;    4.050;   0;eor
164;2014-01-19;   3;   -0.9;   5.4;   8.0; 1003.20;   94.13;   6.7;    1.8;   -3.5;   -3.3;  11.6;   0.0;   6;    0.000;   0;eor
164;2014-01-20;   3;   -3.5;   4.4;   8.0; 1002.99;   93.33;   5.8;   -2.7;   -4.2;   -4.0;  10.1;   1.0;   8;    0.000;   0;eor
164;2014-01-21;   3;   -4.5;   4.1;   8.0; 1006.53;   94.13;   3.5;   -3.6;   -5.9;   -5.8;   6.3;   1.3;   7;    0.000;   1;eor
164;2014-01-22;   3;   -5.5;   3.6;   8.0; 1012.02;   88.83;   3.8;   -4.9;   -6.7;   -7.3;   9.1;   0.0;   7;    0.000;   2;eor
164;2014-01-23;   3;   -7.6;   2.8;   5.7; 1014.70;   80.17;   4.0;   -5.0;   -9.8;  -13.3;   9.3;   0.0;   7;    6.483;   2;eor
164;2014-01-24;   3;   -9.1;   2.5;   3.6; 1015.12;   82.13;   5.4;   -6.3;  -13.3;  -14.5;  10.8;   0.0;   7;    4.650;   2;eor
164;2014-01-25;   3;  -12.6;   1.8;   0.8; 1018.30;   79.29;   3.6;   -8.6;  -15.7;  -17.9;   8.6;   0.0;   7;    7.233;   2;eor
