<pre>
 
                Tageswerte der Station 10291 Angermünde                                               
 STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
----- -------- -- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
10291 20170118  1  -12.2   -8.6   -4.6   -2.4   89.4    2.0    6.3    0.0    7.9    0.0 1033.6
10291 20170117  1  -13.8   -9.3   -5.4    0.7   87.0    2.0    3.7    6.0    3.4    0.0 1029.4
10291 20170116  1  -12.5   -7.0   -3.6   -0.4   87.1    2.0    6.4    1.0    4.3    0.0 1018.1
10291 20170115  1   -2.2   -1.5    0.0    0.9   91.0    3.0    8.5    0.0    7.8    1.0 1005.9
10291 20170114  1   -6.8   -5.0   -1.1    1.0   90.8    2.0    9.3    0.3    4.9    0.5  995.2
10291 20170113  1   -1.6   -0.3    1.0    1.8   92.8    3.0   12.0    0.0    7.5    3.7  984.1
10291 20170112  1    0.6    1.7    2.7    3.7   81.3    4.0   15.8    1.0    6.7    3.0  993.6
10291 20170111  1  -10.7   -9.6   -4.0    3.0   81.8    4.0   15.3    0.1    6.2    1.5  997.9
10291 20170110  1   -9.0   -7.5   -3.0   -1.3   79.8    3.0    9.2    6.6    1.4    0.0 1008.3
10291 20170109  1   -3.8   -3.8   -2.5   -0.8   90.9    2.0    7.6    0.0    8.0    0.0 1018.8
10291 20170108  1   -4.4   -4.4   -3.7   -3.0   90.9    2.0    5.7    0.0    7.8    0.0 1021.7
10291 20170107  1  -13.7  -10.5   -6.7   -4.1   82.1    3.0    9.8    0.0    7.9    3.0 1022.9
10291 20170106  1  -18.4  -10.6   -7.2   -3.0   82.0    2.0    6.9    0.9    6.0    0.0 1032.7
10291 20170105  1  -14.8   -9.0   -4.2   -1.0   80.5    3.0   11.4    4.0    6.0    2.7 1019.6
10291 20170104  1   -2.0   -1.4    1.8    4.8   84.5    5.0   20.0    1.1    6.3    4.9  992.5
10291 20170103  1   -0.8   -0.7    2.3    4.6   91.9    4.0   18.8    0.0    7.8    7.2 1003.8
10291 20170102  1   -3.0   -1.5    0.8    3.2   87.9    3.0   10.1    0.3    5.3    0.5 1007.5
10291 20170101  1    2.1    2.3    3.7    4.4   84.5    3.0   10.5    0.0    7.8    0.4 1009.4
10291 20161231  1   -1.7   -0.4    1.1    3.5   82.9    3.0   10.2    6.4    2.6    0.0 1021.0
10291 20161230  1   -5.0   -2.3    0.5    4.3   85.4    2.0    6.9    6.5    1.0    0.0 1028.8
10291 20161229  1   -3.4   -1.2    2.6    4.5   88.5    2.0    8.1    0.0    5.6    0.0 1033.7
10291 20161228  1   -1.5   -0.3    2.8    6.1   92.6    2.0    6.7    2.4    3.7    0.1 1031.0
10291 20161227  1    0.0    2.1    5.3    7.2   71.6    5.0   22.0    1.6    5.6    0.0 1018.1
10291 20161226  1    1.9    2.6    8.0   10.8   83.8    5.0   21.2    0.0    6.8    3.9 1010.0
10291 20161225  1    3.1    3.9    7.0    9.7   92.2    4.0   16.3    0.0    7.6    3.4 1008.8
10291 20161224  1    0.4    1.2    4.4    6.5   85.5    4.0   16.4    0.0    6.9    3.9 1012.2
10291 20161223  1    1.2    2.2    3.5    4.4   90.3    3.0   11.8    0.0    7.5    0.2 1023.2
10291 20161222  1   -3.6   -2.4    0.2    2.5   90.6    2.0    7.6    0.0    5.4    0.4 1021.4
10291 20161221  1   -2.7   -1.9   -0.7    0.3   90.5    3.0    8.8    1.0    4.4    0.0 1020.3
10291 20161220  1   -1.2   -1.4   -0.2    2.1   97.8    2.0    9.7    0.0    7.0    0.0 1023.1
10291 20161219  3    0.4    2.1    3.0    3.7   96.2    2.0    3.4    0.0    8.0    0.0 1025.6
10291 20161218  3   -1.2   -0.5    2.8    4.5   97.9    2.0    7.4    0.0           0.6 1024.6
10291 20161217  3   -6.5   -4.2   -1.7    0.4   95.4    2.0    6.8    0.0    6.6    0.3 1028.4
10291 20161216  3   -5.0   -3.2    0.6    2.4   83.8    2.0    9.5    1.6    5.2    0.0 1026.7
10291 20161215  3    0.9    1.8    2.6    3.7   79.8    2.0    8.1    0.0    8.0    0.0 1025.6
10291 20161214  3   -1.8   -0.1    2.8    5.5   95.4    2.0    7.1    2.4    5.3    0.0 1017.8
10291 20161213  3   -5.5   -3.5   -0.5    2.1   89.3    2.0    6.4    0.0    6.2    0.6 1018.3
10291 20161212  3   -5.1   -3.5    2.2    6.5   83.3    3.0   12.4    4.9    3.5    0.0 1016.1
10291 20161211  3    4.4    5.6    6.7    8.0   93.3    3.0   12.8    0.0    7.5   13.9 1003.6
10291 20161210  3    7.7    7.9    9.1   10.2   87.4    4.0   13.5    0.0    8.0    4.7 1011.1
10291 20161209  3    5.7    6.4    8.1    9.6   83.5    4.0   13.0    0.1    7.8    0.1 1015.2
10291 20161208  3    5.1    6.4    7.8    9.4   72.1    4.0   15.8    1.2    6.4    2.4 1016.3
10291 20161207  3   -1.4   -1.7    0.8    6.7   93.0    3.0   12.1    0.0    8.0    0.3 1024.2
10291 20161206  3   -2.9   -2.7    0.5    2.7   93.5    3.0    8.6    0.0           0.0 1022.9
10291 20161205  3   -4.8   -4.0   -2.6   -0.8   94.5    2.0    8.2    2.6    6.8    0.2 1020.2
10291 20161204  3   -1.8   -1.2    0.7    2.4   89.0    2.0    5.9    0.0    7.9    0.0 1022.5
10291 20161203  3   -4.5   -3.0   -0.6    2.8   88.5    2.0    5.6    6.5    4.7    0.0 1018.4
10291 20161202  3   -1.9   -0.7    3.4    6.9   74.0    4.0   22.2    6.7    1.5    0.0 1008.6
10291 20161201  3    4.0    4.7    6.7    8.1   90.4    5.0   20.3    0.0    7.9    3.8 1004.6
10291 20161130  3   -3.2   -2.3    1.4    4.8   81.8    4.0   13.5    0.0    7.6    2.4 1015.9
10291 20161129  3   -5.0   -3.8   -1.0    2.8   72.3    3.0   11.0    2.9    2.3    0.0 1024.8
10291 20161128  3   -5.2   -3.5   -0.2    3.0   74.5    3.0    8.9    2.8    3.0    0.0 1020.7
10291 20161127  3   -1.2    0.2    3.8    6.7   77.4    4.0   12.1    6.7    2.8    0.0 1007.3
10291 20161126  3    0.3   -0.1    1.4    4.1   97.3    3.0   11.7    0.0    7.8    0.0 1010.6
10291 20161125  3   -2.5   -2.1    1.2    3.7   97.1    1.0    5.9    0.0           0.0 1018.7
10291 20161124  3   -2.5   -1.5    3.9    7.4   93.0    2.0    6.6    5.4    4.7    0.0 1017.6
10291 20161123  3    1.7    2.5    5.0    8.6   98.4    1.0    2.8    2.0           0.0 1012.9
10291 20161122  3    3.6    4.6    8.0   10.1   93.0    2.0    7.0    0.0    7.7    0.0 1006.1
10291 20161121  3    4.4    6.1    8.3   11.9   83.1    3.0    7.2    3.6    4.7    0.0 1001.9
